"> 时间","> 描述","> 类别标签","> 开始日期","> 结束日期","> 备注","> 标识码"
"0.500","帮大姐看手机","4Pr","2016-05-21 10:00:23","2016-05-21 10:30:23","","amKjcHDuThqdhDT4XQxLBQ"
"1.000","因昨晚看综艺节目看到很晚而没起来","4Pr","2016-05-21 09:00:23","2016-05-21 10:00:23","","mhtEDzMIR4miG_WVUltq0g"
"0.417","CashBus简单整理完","1P","2016-05-20 22:30:17","2016-05-20 22:55:17","","OqQjkDsCRTqdtHG_7aEi2A"
"1.412","leetcode过题，在二叉树上花了很长时间","1C","2016-05-20 20:53:26","2016-05-20 22:18:10","","eyOwV6bvSeysobIwU2aNHw"
"1.500","恶习","4Pr","2016-05-20 19:00:23","2016-05-20 20:30:23","","fqYLKamkTF-6EdsWq60rdg"
"0.736","CashBus写的没状态","1P","2016-05-20 16:30:37","2016-05-20 17:14:45","","y2XFUFlcTwu_L8rfXSVAnQ"
"0.417","写代码过程中，没喝水，状态差","4Pr","2016-05-20 15:35:19","2016-05-20 16:00:19","","nJAUDM2DRWWdJhLeFSsyRA"
"1.593","CashBus整理","1P","2016-05-20 13:57:48","2016-05-20 15:33:21","","TSyTNSCrSFmJof7O48yyvA"
"1.083","CashBus整理","1P","2016-05-20 10:50:23","2016-05-20 11:55:23","","i_WdlgShQrOVAmvByXjCZw"
"1.351","CashBus整理","1P","2016-05-20 09:15:51","2016-05-20 10:36:53","","WRzGleVtTq2KYSF23IEBag"
"0.140","《人生2》进度很慢","2R","2016-05-20 08:55:32","2016-05-20 09:03:55","","AOkqRcY-RQy-v30gKkHuzw"
"0.513","《人生2》","2R","2016-05-20 08:09:39","2016-05-20 08:40:26","","aqFAMklDT6i8tuO7xOtJXw"
"1.333","不明确自己要干什么，乱想","4Pr","2016-05-19 20:40:06","2016-05-19 22:00:06","","B-m67HqMSH6Fo9hwVbPPng"
"1.750","听宣讲会","1J","2016-05-19 18:30:08","2016-05-19 20:15:08","","9mMf0p9iR0iojIScWVoHeA"
"0.500","对新加的规则判断和画图，状态差","4BK","2016-05-19 16:15:53","2016-05-19 16:45:53","","z1CcG5GGThisnqe6Yl8_pw"
"0.890","增加新的条件","4BK","2016-05-19 15:07:01","2016-05-19 16:00:24","","z954VldiQ6C2Fnhl9Nd1lA"
"0.573","不一致，新增加的条件，没写出来","4BK","2016-05-19 14:11:50","2016-05-19 14:46:13","","86_VUJ1OSgq-ftkuaCePWg"
"0.667","看综艺节目，影响休息","4Pr","2016-05-19 12:55:17","2016-05-19 13:35:17","","up-RaMSOTiKNycBygxHVEg"
"0.891","LEM2调出来，因为Python的引用问题","4BK","2016-05-19 10:35:16","2016-05-19 11:28:42","","105ZJJpOSAO4f5QJOlyLNw"
"0.934","leetcode看了一道简单的题","1C","2016-05-19 09:14:08","2016-05-19 10:10:12","","HHcWZhocTAyOCylQcWRo9g"
"0.650","《人生吧2》阅读速度，故意慢～","2R","2016-05-19 08:15:17","2016-05-19 08:54:17","","ceyMOT9NRxaAv7Ni1xrsyQ"
"2.481","CashBus看别人写的，自己没动脑子","1P","2016-05-18 19:54:52","2016-05-18 22:23:43","","wGt41ijvRhet4sx83Jp4oQ"
"0.383","LEM2仍然没调出来，状态差","4BK","2016-05-18 17:12:30","2016-05-18 17:35:30","","hTmIPtVPSDCqjCt-Yaj3ug"
"0.885","LEM2例子验证","4BK","2016-05-18 16:19:24","2016-05-18 17:12:30","","9CXfusTYS-Gx9o5TruV8Fg"
"0.535","LEM2验证，状态差","4BK","2016-05-18 15:31:52","2016-05-18 16:03:57","","-G-WjgESQay4Je1FLyepCQ"
"1.131","CashBus整理，思路慢","1P","2016-05-18 14:01:37","2016-05-18 15:09:28","","y8PEkWGnQfiUQ87p_KRGCA"
"0.965","CashBus想整体思路","1P","2016-05-18 11:09:21","2016-05-18 12:07:14","","ItwWZFXDQ-24GzmR5tmXJw"
"0.442","leetcode题目","1C","2016-05-18 10:27:48","2016-05-18 10:54:20","","RGURPbVOTgG4SfDlHjBIww"
"0.493","瞎想一些东西","1A","2016-05-18 09:45:37","2016-05-18 10:15:10","","Q2FkbaZESQCcE4oGC2Mxow"
"0.383","《人生2》","2R","2016-05-18 09:09:18","2016-05-18 09:32:17","","HfSOOTixRJK1KElPL8vtTQ"
"0.333","看综艺节目","4Pr","2016-05-18 08:40:45","2016-05-18 09:00:45","","nbHU0QaOQVKTe0ZHBa3P1g"
"1.667","想着简历修改，思路混乱","4Pr","2016-05-17 20:50:18","2016-05-17 22:30:18","","rzj_tfa8T4myHU7TE9d-Zw"
"1.167","听简历讲座","1J","2016-05-17 19:20:45","2016-05-17 20:30:45","","vJSSgShrQ-2xPsfYT6RC6A"
"0.766","LEM2","4BK","2016-05-17 17:44:21","2016-05-17 18:30:18","","2aLWdfpUQLiwhs0G3eVCYA"
"1.149","LEM2","4BK","2016-05-17 16:10:01","2016-05-17 17:18:57","","xsUn9gpqQw-m3ob2jvjReg"
"0.414","LEM2","4BK","2016-05-17 15:24:47","2016-05-17 15:49:39","","kN833y2qRXKZXTwmRPoU4Q"
"0.809","leetcode题目","1C","2016-05-17 14:17:10","2016-05-17 15:05:41","","umh8upMlRkyVGcnbIJu0Fg"
"0.715","leetcode题目","1C","2016-05-17 13:21:34","2016-05-17 14:04:27","","cSL9Z6AiSimxWHOh9kziUQ"
"0.467","IDE出问题","1C","2016-05-17 11:00:35","2016-05-17 11:28:35","","XeDF1RbZQIC7I9B_9Lt_ug"
"0.167","调试一道题目","1C","2016-05-17 10:50:35","2016-05-17 11:00:35","","Q2sKXFhuQSyb1kj3l8bImg"
"0.829","leetcode题目，发现，想好了但觉得写不出来，在写的过程中，会写出来","1C","2016-05-17 09:51:44","2016-05-17 10:41:27","","OCUS3IijQWSgN4RSyNtNEA"
"0.388","leetcode题目，想好了但写不初来","1C","2016-05-17 09:15:57","2016-05-17 09:39:14","","SYtWVJbaSi63MPhYhDQGsw"
"0.461","《人生2》","2R","2016-05-17 08:37:21","2016-05-17 09:04:59","","3hLbQR19S0O-sXnbOJsW_A"
